Cobi_24_1_S54	Cobi_24_2_S55	TNF_24_1_S58	TNF_24_2_S59	UT_24_1_S52	UT_24_2_S53
FGFBP1	87	83	35	29	39	60
FGFBP2	44	33	36	45	38	37
PROM1	276	297	291	272	358	359
AC108063.2	0	0	0	0	0	0
TAPT1	162	134	148	138	197	190
AC108063.1	0	0	0	0	0	0
TAPT1-AS1	8	5	5	1	6	3
RPS21P4	0	0	0	0	0	0
AC006427.1	0	0	0	0	0	0
AC006427.2	0	0	0	0	0	0
ZEB2P1	0	0	0	0	0	0
AC097515.1	0	0	0	0	0	0
LDB2	0	0	0	0	0	0
AC104656.1	0	0	0	0	0	0
AC106894.1	0	0	0	0	0	0
MTND5P4	0	0	0	0	0	0
LINC02493	0	0	0	0	0	0
SNORA75B	0	0	0	0	0	0
RPS7P6	0	0	0	0	0	0
QDPR	329	324	313	270	387	360
CLRN2	0	0	0	0	0	0
NACAP5	0	0	0	0	0	0
AC006160.2	0	0	0	0	0	0
LAP3	801	834	848	872	995	1045
AC006160.1	3	1	0	0	0	3
MED28	1036	1102	799	704	888	984
FAM184B	6	4	1	2	3	5
DCAF16	996	993	1589	1586	1495	1861
NCAPG	443	467	2988	2949	2891	3365
LCORL	278	235	488	490	417	519
KRT18P63	0	0	0	0	0	0
AC093898.1	0	0	0	0	0	0
AC093871.1	0	0	0	0	0	0
AC006840.1	0	0	0	0	0	0
LINC02438	4	7	7	11	14	10
RNA5SP157	0	0	0	0	0	0
AC024595.1	3	5	3	4	2	7
AC024230.1	17	13	20	11	11	15
AC110767.1	0	0	0	0	0	0
AC114728.1	0	0	1	0	2	1
AC098862.1	0	0	0	0	0	0
SLIT2	130	102	45	35	77	70
SLIT2-IT1	0	0	0	0	1	0
MIR218-1	0	0	0	0	0	0
PACRGL	224	226	269	261	230	319
KCNIP4	0	0	0	0	0	0
AC097505.1	1	3	0	2	0	0
AC110296.1	0	0	0	0	0	0
MIR7978	0	0	0	0	0	0
AC096576.6	0	0	0	0	0	0
AC096576.3	0	0	0	0	0	0
AC096576.1	0	0	0	0	0	0
AC096576.2	0	0	0	0	0	0
KCNIP4-IT1	0	0	0	0	0	0
AC096719.1	0	0	0	0	0	0
RNU6-420P	0	0	0	0	0	0
ADGRA3	687	715	936	880	847	924
AC098583.1	0	0	0	1	1	1
AC098583.2	0	0	0	0	0	0
GBA3	0	0	0	0	0	0
CDC42P6	27	23	32	19	23	26
AC097512.1	0	0	0	0	0	0
AC092440.1	0	0	0	0	0	0
RFPL4AP3	0	0	0	0	0	0
AC093607.1	0	0	0	0	0	0
ERVH-1	0	0	0	0	0	0
PPARGC1A	0	0	0	0	0	0
AC092834.1	0	0	0	0	0	0
DHX15	2241	2314	3385	3063	3497	4103
MIR573	4	0	4	4	3	6
RN7SL16P	0	0	0	0	0	0
ATP5MGP3	0	0	0	0	0	0
LINC02473	0	0	0	0	0	0
AC006390.1	0	0	0	0	0	0
HNRNPA1P65	0	0	0	0	0	0
SOD3	0	0	0	0	0	0
CCDC149	100	94	48	49	72	71
LGI2	0	0	0	0	0	0
SEPSECS	259	305	309	333	279	359
SEPSECS-AS1	13	6	10	18	17	15
PI4K2B	514	509	941	965	852	1090
AC104662.1	1	0	0	0	1	0
AC104662.2	0	0	0	1	0	0
ZCCHC4	122	133	273	214	263	262
ANAPC4	384	370	417	377	444	511
AC133963.2	0	1	0	0	0	0
AC133963.1	0	0	0	0	0	0
AC105290.1	0	0	0	0	0	0
RNU7-126P	0	0	0	0	0	0
AC092436.1	0	0	0	0	0	0
SLC34A2	1	1	0	1	1	1
RPS29P11	0	0	0	0	0	0
AC092436.2	0	0	0	0	1	0
MTND4P9	1	3	1	2	3	0
MTND4LP22	1	0	0	1	0	0
MTND3P5	1	0	0	0	0	0
MTCO3P44	0	0	0	0	0	0
SEL1L3	1190	1203	1175	1208	1475	1498
AC092436.3	0	0	0	0	0	0
SMIM20	348	327	412	379	463	473
AC133961.1	0	0	0	0	0	1
LINC02357	0	0	0	0	0	0
AC097714.1	0	0	0	0	0	0
RBPJ	1006	995	1976	1894	1861	2487
CCKAR	0	0	0	0	0	0
TBC1D19	84	88	150	162	192	233
AC107390.1	0	0	0	0	0	0
STIM2	612	633	619	572	780	860
STIM2-AS1	2	1	1	1	7	1
PIMREGP4	0	0	0	0	0	0
AC024132.3	0	0	0	0	0	0
AC024132.1	0	0	0	0	0	0
LINC02261	0	3	0	0	0	0
AC024132.2	0	0	0	0	0	0
AC024132.4	0	0	0	0	0	0
IGBP1P5	0	0	0	0	0	0
AC007106.2	0	0	0	0	0	0
AC007106.1	0	0	0	0	0	1
AC093791.2	0	1	0	0	0	0
AC093791.1	0	0	0	0	0	0
AC097480.1	0	0	0	0	0	0
AC097480.2	0	0	0	0	0	0
RN7SL101P	0	0	0	0	0	0
MIR4275	0	0	0	0	0	0
MESTP3	0	0	0	0	0	0
LINC02364	0	0	0	0	0	0
AC068944.2	0	0	0	0	0	0
AC068944.1	0	0	0	0	0	0
AC109349.1	0	0	0	0	0	0
LINC02472	0	0	0	0	0	0
AC092593.2	0	0	0	0	0	0
AC092593.1	0	0	0	0	0	0
AC093608.1	0	0	0	0	0	0
EEF1A1P21	0	0	0	0	0	0
AC097510.1	0	0	0	0	0	0
RPS3AP17	0	0	0	0	0	0
AC106868.1	0	0	0	0	0	0
AC098595.1	0	0	0	0	0	1
PCDH7	2803	2818	1306	1387	2403	2666
AC097716.1	2	5	1	1	0	3
MTCYBP43	0	0	0	0	0	0
LINC02497	0	0	0	0	0	0
AC104071.1	0	0	0	0	0	0
LINC02501	1	2	0	0	0	0
LINC02506	0	0	0	0	0	0
AC097654.1	3	1	0	1	0	1
LINC02353	0	0	0	0	0	0
AC116611.1	0	1	0	0	0	0
AC017013.1	0	0	0	0	0	0
AC093606.1	0	0	0	0	0	0
AC093878.1	0	0	0	0	0	0
AC097535.2	0	0	0	0	0	0
AC097535.1	0	0	0	0	0	0
AC079772.1	0	0	0	0	0	0
AC016687.3	0	0	0	0	0	0
AC016687.2	0	0	0	0	0	0
AC016687.1	0	0	0	0	0	0
LINC02484	0	0	1	0	0	0
AC110790.1	0	0	0	0	0	0
AC093689.1	0	0	0	0	0	0
AC093913.1	0	0	0	0	0	0
AC020589.1	0	0	0	0	0	0
SEC63P2	0	0	0	0	0	0
RNU6-573P	0	0	0	0	0	0
ARAP2	280	239	226	220	253	238
AC098827.1	0	0	0	0	0	0
AC104078.1	0	0	0	0	0	0
DTHD1	0	0	0	0	0	0
AC104078.2	0	0	0	0	0	0
MIR1255B1	0	0	0	0	0	0
LINC02505	0	0	0	0	0	0
AC125336.1	0	0	0	0	0	0
AC093746.1	0	0	0	0	0	0
LINC02616	9	12	9	12	17	15
AL136537.1	0	0	0	1	0	0
MIR4801	0	0	0	0	0	0
NWD2	0	0	1	0	0	0
C4orf19	0	0	0	0	0	0
AC022463.1	0	0	0	0	1	0
AC027607.1	1	0	5	3	3	3
RELL1	158	203	574	523	451	538
AC108022.1	0	0	0	0	0	0
AC108022.2	0	0	0	0	0	0
PGM2	654	662	772	729	749	982
AC021106.3	0	0	0	0	0	0
AC021106.1	30	26	10	22	22	21
TBC1D1	782	811	1169	1054	1272	1386
PTTG2	0	0	0	1	1	0
AC021106.2	0	0	0	0	0	0
MRPS33P2	0	0	0	0	0	0
AC098680.2	0	0	0	0	0	0
AC098680.1	0	0	0	0	0	0
LINC02513	0	0	0	0	0	0
AC024023.1	0	0	0	0	0	0
LINC01258	0	0	0	0	0	0
LINC01259	0	0	0	0	0	0
LINC02278	0	0	0	0	0	0
KLF3-AS1	5	12	0	2	6	10
AC021860.1	0	0	0	0	0	0
KLF3	872	919	1069	1057	1136	1164
RNA5SP158	0	0	0	0	0	0
TLR10	0	1	4	1	10	9
TLR1	61	56	32	34	66	41
TLR6	45	38	136	109	145	140
FAM114A1	736	733	485	560	653	802
MIR574	1	0	0	0	0	0
TMEM156	1	1	1	2	1	2
KLHL5	455	428	959	997	560	641
AC079921.1	2	0	0	0	1	0
AC079921.2	6	5	7	7	4	7
WDR19	233	216	171	169	198	231
RFC1	884	940	1968	1778	2010	2266
RNU6-32P	0	0	0	0	1	0
RNU6-887P	0	0	0	0	0	0
KLB	0	0	0	2	0	0
MIR5591	0	0	0	0	0	0
AC021148.2	0	0	0	0	0	0
RPL9	11944	12021	11093	10464	13248	18716
LIAS	150	174	248	298	267	311
AC021148.1	3	4	5	2	1	6
UGDH	1349	1302	833	740	1041	1177
UGDH-AS1	44	48	31	29	45	28
AC021148.3	2	8	0	2	2	3
SMIM14	1782	1676	469	505	723	939
AC108471.4	1	1	1	0	0	1
RNU7-11P	0	0	0	0	0	0
AC108471.3	2	7	3	4	12	14
UBE2K	2284	2146	2789	2659	2488	3294
AC108471.2	0	0	0	0	0	0
AC108471.1	0	0	0	0	0	0
RN7SL558P	1	0	0	1	3	1
ZBTB12BP	0	0	0	0	0	1
PDS5A	2389	2327	3802	3752	3906	4415
ELOCP33	0	0	0	0	1	0
RNA5SP159	0	0	0	0	0	0
AC098591.3	7	4	7	7	5	5
PABPC1P1	0	0	0	0	0	0
KRT18P25	0	0	0	0	0	0
AC098591.2	1	0	0	1	3	0
N4BP2	220	190	513	485	422	565
RNU6-1112P	0	0	0	0	0	0
AC098591.1	0	0	0	0	0	0
AC095057.1	0	0	0	0	0	0
AC095057.3	2	0	6	5	6	7
AC095057.4	0	0	0	2	2	1
RHOH	0	1	0	1	4	2
AC095057.2	0	0	0	0	1	0
LINC02265	0	0	0	0	0	0
CHRNA9	0	1	1	0	4	6
RNU7-74P	0	0	0	0	0	0
RBM47	1107	1174	425	434	524	526
AC098869.2	0	0	0	0	0	0
AC098869.1	0	0	0	0	0	0
MIR4802	0	0	0	0	0	0
AC131953.3	0	0	0	0	0	0
NSUN7	0	0	0	0	0	0
ARL4AP2	0	0	0	0	0	0
APBB2	1790	1741	1964	1867	1633	1668
AC131953.2	0	0	0	0	0	0
AC131953.1	2	2	1	1	1	0
RNA5SP160	0	0	0	0	0	0
RNU6-836P	0	0	0	0	0	0
RNU6-1195P	0	0	0	0	0	0
UCHL1-AS1	0	0	0	0	0	0
UCHL1	1	0	0	0	0	1
AC095043.1	0	0	0	0	0	0
LIMCH1	238	292	103	97	205	257
RPL12P20	1	0	0	0	0	0
AC108050.1	0	0	0	0	0	0
AC105389.2	0	0	0	0	0	0
OR5M14P	0	0	0	0	0	0
PHOX2B	0	0	0	0	0	0
PHOX2B-AS1	0	0	0	0	0	0
AC105389.1	0	0	0	0	0	0
RNU1-49P	0	0	0	0	0	0
HMGB1P28	0	0	0	0	0	0
LINC00682	0	0	0	0	0	0
AC108210.1	1	2	0	0	1	1
AC108210.2	0	0	0	0	0	0
TMEM33	933	996	1606	1536	1083	1417
DCAF4L1	2	8	9	11	8	8
AC106052.1	1	0	0	0	1	0
SLC30A9	1256	1335	1348	1416	1418	1682
ATP1B1P1	1	1	3	1	0	2
BEND4	0	0	0	0	0	0
AC111006.1	0	0	0	0	0	0
AC024022.1	0	0	0	0	0	0
SHISA3	0	0	0	0	0	0
ATP8A1	54	52	14	8	16	20
RPS7P7	0	0	0	0	0	0
CCNL2P1	0	0	0	0	1	0
AC096734.2	0	0	0	0	0	0
AC096734.1	0	0	0	0	0	0
RN7SKP82	0	0	0	0	0	0
GRXCR1	0	0	0	0	0	0
AC111198.1	0	0	0	0	0	0
AC097451.1	0	0	0	0	0	0
AC098590.2	0	0	0	0	0	0
AC098590.1	0	0	0	0	0	0
LINC02383	0	0	0	0	0	0
AC114774.1	0	0	0	0	0	0
RN7SL691P	0	0	0	0	0	0
AC080132.1	0	0	0	0	0	0
RN7SL193P	0	0	0	0	0	0
NDUFB4P12	6	6	3	7	5	3
AC114757.1	0	0	0	0	0	0
LINC02475	0	0	0	0	0	0
KCTD8	0	0	0	0	0	0
AC093852.1	0	0	0	0	0	0
YIPF7	1	2	0	0	1	0
GUF1	472	495	741	692	732	766
GNPDA2	343	282	369	360	320	389
AC096586.2	1	1	3	1	2	1
AC096586.1	8	5	8	12	2	10
AC093755.1	0	0	0	0	0	0
PRDX4P1	0	0	0	0	0	0
AC108467.2	0	0	0	0	0	0
AC108467.1	0	0	0	0	0	0
THAP12P9	0	0	0	0	0	0
AC108043.1	0	0	0	0	0	0
RNU6-931P	0	0	0	0	0	0
RN7SKP199	0	0	0	0	0	0
GABRG1	0	0	0	0	0	0
AC104072.1	0	0	0	0	0	0
GABRA2	0	0	0	0	0	0
AC095060.1	0	0	0	0	0	0
RNU6-412P	0	0	0	0	0	0
RAC1P2	38	43	84	82	68	81
COX7B2	0	0	0	0	0	0
GABRA4	0	0	0	0	0	0
GABRB1	0	0	0	0	0	0
AC107398.3	0	0	0	0	0	1
COMMD8	453	417	334	301	386	497
AC107398.4	0	2	0	0	0	0
AC107398.5	0	1	1	1	0	1
ATP10D	315	339	111	121	154	140
AC107398.1	0	0	0	0	0	0
AC107398.2	0	0	0	0	0	0
CORIN	42	45	44	46	64	49
MIR8053	0	0	0	0	0	0
AC092597.1	3	1	1	0	0	0
AC107068.2	0	0	0	0	0	0
AC107068.1	55	53	48	60	51	68
NFXL1	363	389	327	313	423	391
NIPAL1	231	208	293	234	221	268
CNGA1	30	23	11	23	33	46
TXK	43	40	30	27	42	41
RNU6-838P	0	0	0	1	0	0
AC079118.2	0	0	0	0	1	0
TEC	73	68	129	117	111	138
AC079118.1	0	0	0	0	0	0
SLAIN2	664	696	987	862	785	984
SLC10A4	65	67	64	53	58	80
ZAR1	2	1	2	0	2	2
FRYL	1200	1252	1304	1226	1303	1553
RNU5E-3P	0	0	0	0	0	0
OCIAD1	1905	1957	1863	1909	2034	2383
OCIAD1-AS1	0	0	0	0	0	0
OCIAD2	334	309	365	349	367	397
RNU6-158P	0	0	0	0	0	0
AC020593.1	0	0	0	0	0	0
CWH43	0	0	0	0	0	0
TPI1P4	0	0	0	0	0	0
AC118282.3	0	0	0	0	1	0
AC118282.2	0	0	0	0	0	0
AC118282.4	0	0	0	0	0	0
SNX18P23	0	0	0	0	0	0
AC118282.1	0	0	0	0	0	0
MTCO3P39	0	0	0	0	0	1
MTND3P22	0	0	0	0	0	0
AC119751.3	2	5	3	4	0	5
ANKRD20A17P	0	0	0	0	0	0
AC119751.5	0	0	0	0	0	0
AC119751.2	0	0	0	0	0	0
AC119751.8	0	0	0	0	0	0
AC119751.7	0	0	0	0	0	0
MTCO3P42	0	0	0	0	0	0
AC119751.1	0	0	0	0	0	0
AC119751.6	0	0	0	0	0	0
SNX18P24	0	0	0	0	0	0
AC119751.4	0	0	0	0	0	0
SNX18P25	0	0	0	0	0	0
DCUN1D4	532	472	531	525	434	608
DUTP7	0	0	0	0	0	0
AC027271.1	1	0	1	0	3	1
AC104784.1	0	0	0	0	0	0
LRRC66	7	6	3	1	5	1
SGCB	608	563	346	372	477	510
LINC02480	0	0	0	0	0	0
SPATA18	4	10	0	2	1	1
AC097522.2	0	0	0	0	0	0
AC097522.1	0	0	0	0	0	0
RNU6-1252P	0	0	0	0	0	0
USP46	619	655	558	513	629	816
USP46-AS1	51	46	14	20	27	33
AC104066.4	0	0	0	0	0	0
LINC01618	148	187	150	136	206	190
DANCR	468	502	429	399	573	618
MIR4449	1	1	2	0	2	0
AC104066.5	0	0	3	0	0	1
SNORA26	9	12	5	7	9	10
AC104066.3	0	0	0	0	0	0
ERVMER34-1	245	254	364	345	310	392
AC104066.2	0	0	0	0	0	0
AC104066.1	0	0	0	0	0	0
RASL11B	3	5	1	0	7	5
SCFD2	65	89	135	147	170	174
AC023154.1	0	0	0	0	0	0
RNU6-310P	0	0	0	0	0	0
FIP1L1	766	745	940	807	932	941
AC058822.1	430	410	575	497	531	525
LNX1	77	99	35	43	58	54
LNX1-AS1	0	0	0	0	0	0
AC095040.1	0	0	0	0	0	0
LNX1-AS2	1	0	0	1	1	2
AC124017.1	0	0	0	0	0	0
AC105384.1	0	0	0	0	0	0
AC105384.2	0	0	0	0	0	0
RPL21P44	0	0	0	1	1	0
AC110792.3	1	1	2	0	1	0
CHIC2	92	88	122	129	147	123
AC110792.2	0	0	0	0	0	0
AC110792.4	0	0	0	0	0	0
AC110792.1	0	0	1	0	0	0
MORF4L2P1	0	0	0	0	0	0
GSX2	0	0	0	0	0	0
RPL22P13	0	0	0	0	0	0
PDGFRA	1	0	0	0	0	0
LINC02283	0	0	0	0	0	0
AC098587.1	0	0	0	0	0	0
AC098868.1	0	0	0	0	0	0
LINC02260	0	0	0	0	0	0
KIT	0	0	0	0	0	0
AC097494.1	0	0	0	0	0	0
LINC02358	0	0	0	0	0	0
AC111194.1	0	0	0	0	0	0
RPL38P3	0	0	0	0	0	0
RNU6-410P	0	0	0	0	0	0
AC111194.2	0	0	0	0	0	0
RN7SL424P	0	0	0	0	0	0
KDR	9	10	2	2	10	12
AC021220.2	0	0	0	0	0	0
RN7SL822P	0	0	0	0	0	0
AC021220.1	0	0	0	0	0	0
RNU6-746P	0	0	0	0	0	0
LRRC34P2	0	0	0	0	0	0
SRD5A3	215	246	261	277	278	304
FCF1P8	0	0	0	0	0	0
SRD5A3-AS1	5	1	3	0	4	3
AC069200.3	0	2	2	0	0	1
TMEM165	924	856	824	829	813	978
AC069200.2	3	3	1	2	7	4
CLOCK	1569	1559	1897	1862	1837	2457
AC069200.1	0	0	0	0	0	0
RN7SKP30	2	1	2	1	3	3
AC024243.1	0	1	2	0	1	3
PDCL2	0	1	1	4	1	2
NMU	391	404	464	447	534	677
RNU6-276P	0	0	0	0	0	0
EXOC1L	0	0	0	0	0	0
EXOC1	543	541	432	419	458	513
RNU6-652P	3	1	1	4	4	2
AC110611.1	0	0	1	2	0	0
AC110611.2	0	0	0	0	0	0
CEP135	105	109	430	435	381	442
CRACD	298	332	303	315	344	398
RNA5SP161	0	0	0	0	0	0
RNU6-197P	0	0	0	0	0	0
AC022267.1	0	0	0	0	0	0
MRPL22P1	0	0	0	0	0	0
AASDH	279	285	317	321	329	376
RPL7AP31	1	1	2	0	3	2
AC068620.1	0	0	1	1	4	1
PPAT	717	687	1370	1363	1193	1481
AC068620.2	0	0	2	0	0	0
AC068620.3	1	2	0	0	0	0
PAICS	3969	4196	7524	7769	7767	9338
SRP72	2016	2041	3058	3077	3033	3539
ARL9	0	3	0	2	1	0
THEGL	0	4	1	0	1	1
GLDCP1	5	0	3	3	0	1
HOPX	0	0	0	0	0	0
AC108215.1	0	0	0	0	0	0
RPL17P20	0	0	0	0	0	0
AC022483.1	0	1	0	3	1	1
RN7SL492P	0	0	0	0	0	0
RN7SL357P	0	0	0	0	0	0
SPINK2	13	13	7	6	19	21
AC022483.3	0	0	0	0	0	0
AC022483.2	0	0	0	0	0	0
REST	1194	1192	936	859	944	1238
AC069307.1	1	5	6	6	2	2
NOA1	729	709	613	606	748	824
POLR2B	2849	2854	3105	3007	3181	3670
RNU6-998P	1	0	1	0	1	1
IGFBP7	0	0	0	0	0	0
UBE2CP3	0	0	0	0	0	0
IGFBP7-AS1	0	0	0	0	0	0
AC111197.1	0	0	0	0	0	0
AC105390.1	0	0	0	0	0	0
RPS26P24	0	0	0	0	0	0
LINC02380	0	0	0	0	0	0
AC013724.1	0	0	0	0	0	0
AC107396.1	0	0	0	0	0	0
AC093725.2	0	0	0	0	0	0
AC093725.1	0	0	0	0	0	0
AC104790.1	0	0	0	0	0	0
SRIP1	0	0	0	0	0	0
AC096725.1	0	0	0	0	0	0
LINC02494	0	0	0	0	0	0
AC019133.1	0	0	0	0	0	0
AC017091.1	0	0	0	0	0	0
LINC02619	0	0	0	0	0	0
LINC02429	0	0	0	0	0	0
AC097501.1	0	0	0	0	0	0
AC108517.2	0	0	0	0	0	0
AC108517.1	0	0	0	0	0	0
AC096588.1	0	0	0	0	0	0
AC096588.2	0	0	0	0	0	0
AC093857.1	0	0	0	0	0	0
AC092596.1	0	0	0	0	0	0
RNU6-1325P	0	0	0	0	0	0
AC092596.2	0	0	0	0	0	0
AC097655.1	0	0	0	0	0	0
LINC02496	0	0	0	0	0	0
AC105420.1	0	0	0	0	0	0
MIR548AG1	0	0	0	0	0	0
LINC02271	0	0	0	0	0	0
ADGRL3	0	0	0	0	0	0
RPL17P19	0	0	0	0	0	0
AC020741.1	0	0	0	0	0	0
AC108161.1	0	0	0	0	0	0
AC092663.1	0	0	0	0	0	0
ADGRL3-AS1	0	0	0	0	0	0
RPS15AP17	1	0	0	0	0	0
RPL21P47	0	0	0	0	0	0
AC105313.1	0	0	0	0	0	0
AC074087.2	0	0	0	0	0	0
AC074087.1	0	0	0	0	0	0
HMGN1P11	0	0	0	0	0	0
EXOC5P1	8	7	7	7	2	6
AC097491.1	0	0	0	0	0	0
LARP1BP1	0	0	0	0	0	0
AC093730.1	0	0	0	0	0	0
TECRL	0	0	0	0	0	0
RNU6-191P	0	0	0	0	0	0
DPP3P1	0	0	0	0	0	0
MTCO3P27	0	0	0	0	0	0
MTCYBP16	0	0	0	0	0	0
MTND6P16	0	0	0	0	0	0
MTND5P13	0	0	0	0	0	0
MTND4LP31	0	0	0	0	0	0
MTND3P24	0	0	0	0	0	0
MTCO3P28	0	0	0	0	0	0
AC104689.1	0	0	0	0	0	0
AC104689.2	0	0	0	0	0	0
LINC02232	0	0	0	0	0	0
AC107058.1	0	0	0	0	0	0
EFL1P2	0	0	0	0	0	0
AC096754.1	0	0	0	0	0	0
LINC02835	0	0	0	0	0	0
EPHA5	0	0	0	0	0	0
AC115223.1	91	62	75	85	73	99
EPHA5-AS1	0	0	0	0	0	0
AC104137.1	0	0	0	0	0	0
RNU2-40P	0	0	0	0	0	0
AC097110.1	0	0	0	0	0	0
AC116049.1	0	0	0	0	0	0
AC096721.1	0	0	0	0	0	0
IFITM3P1	0	0	0	0	0	0
AC110809.1	0	0	0	0	0	0
MIR1269A	0	0	0	0	0	0
RPS23P3	0	0	0	0	0	0
RNU6-699P	0	0	0	0	0	0
AC104806.2	0	0	3	0	2	1
RNU1-63P	0	1	0	0	0	1
RNA5SP527	0	0	0	0	0	0
AC104806.1	0	1	1	1	0	2
CENPC	257	278	485	436	446	573
STAP1	0	0	0	0	0	0
AC096720.2	0	0	2	0	2	2
UBA6	1152	1177	2325	2303	1735	2216
AC096720.1	0	0	0	0	0	0
UBA6-AS1	119	144	218	237	157	192
ST3GAL1P1	0	0	0	0	0	0
AC079880.2	0	0	0	0	0	0
AC079880.3	0	0	0	0	0	0
GNRHR	1	0	0	0	0	0
AC079880.1	1	0	0	0	0	0
TMPRSS11CP	0	0	0	0	0	0
TMPRSS11D	0	0	0	0	0	0
TMPRSS11A	0	0	0	0	0	0
TMPRSS11GP	0	0	0	0	0	0
RNU6-95P	0	0	0	0	0	0
GCOM2	4	9	7	5	13	3
MTND2P41	0	0	0	0	0	0
TMPRSS11F	0	0	0	0	0	0
SYT14P1	0	0	0	0	0	0
FTLP10	0	0	0	0	0	0
TMPRSS11BNL	0	0	0	0	0	0
TMPRSS11B	0	0	1	0	0	0
AC098799.3	0	0	0	0	0	0
AC098799.1	0	0	0	0	0	0
AC098799.2	0	0	0	0	0	0
APOOP4	0	0	0	0	0	0
YTHDC1	1250	1272	1213	1217	1305	1449
MT2P1	33	22	53	89	88	75
TMPRSS11E	2	0	1	0	0	4
UGT2B29P	0	0	0	0	0	0
UGT2B17	0	0	0	0	0	0
AC147055.2	0	0	0	0	0	0
AC147055.4	0	0	0	0	0	0
AC147055.3	0	0	0	0	0	0
UGT2B15	0	0	0	0	0	0
AC147055.1	0	0	0	0	0	0
AC093720.1	0	0	0	0	0	0
AC021146.8	0	0	0	0	0	0
UGT2B10	0	0	0	0	0	0
AC021146.9	0	0	0	0	0	0
AC021146.4	0	0	0	0	0	0
AC021146.11	0	0	0	0	0	0
AC021146.2	0	0	0	0	0	0
AC021146.3	0	0	0	0	0	0
AC021146.12	0	0	0	0	0	0
AC021146.6	0	0	0	0	0	0
AC021146.1	0	0	0	0	0	0
UGT2A3	0	0	0	0	0	0
AC021146.10	0	0	0	0	0	0
AC021146.5	0	0	0	0	0	0
AC021146.7	0	0	0	0	0	0
UGT2B27P	0	0	0	0	0	0
AC107401.1	0	0	0	0	0	0
UGT2B26P	0	0	0	0	0	0
UGT2B7	0	0	0	0	0	0
AC111000.2	0	0	0	0	0	0
AC111000.5	0	0	0	1	0	0
AC111000.3	0	0	0	0	0	0
AC111000.6	0	0	0	0	0	0
AC111000.1	0	0	0	0	0	0
AC111000.4	0	0	0	0	0	0
UGT2B11	0	0	0	0	0	0
AC114797.1	0	0	0	0	0	0
AC114786.1	0	0	0	0	0	0
UGT2B28	0	0	0	0	0	0
AC114786.3	0	0	0	0	0	0
AC114786.2	0	0	0	0	0	0
AC114786.4	0	0	0	0	0	0
UGT2B25P	0	0	0	0	0	0
AC108078.1	0	0	0	0	0	0
UGT2B24P	0	0	0	0	0	0
AC108078.3	0	0	0	0	0	0
AC108078.2	0	0	0	0	0	0
UGT2B4	2	0	1	0	1	0
UGT2A3P7	0	0	0	0	0	0
AC093829.1	0	0	0	0	0	0
UGT2A1	0	0	0	0	0	0
UGT2A2	0	0	0	0	0	0
SULT1B1	0	0	0	0	0	0
SULT1D1P	0	0	0	0	0	0
AC108941.2	0	0	0	0	2	0
SULT1E1	0	0	0	0	2	0
AC108941.1	0	0	0	0	0	0
CSN1S1	0	0	0	0	0	0
CSN2	0	0	0	0	0	0
STATH	0	0	0	0	0	0
HTN3	0	0	0	0	0	0
HTN1	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0
PRR27	0	0	0	0	0	0
ODAM	1	1	0	0	0	0
FDCSP	0	0	0	0	0	0
CSN3	0	0	0	0	0	0
CABS1	0	0	0	0	0	0
SMR3A	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0
OPRPN	0	0	0	0	0	0
MUC7	0	0	0	0	0	0
AMTN	0	0	0	1	0	0
AMBN	1	0	1	0	0	1
ENAM	0	0	1	0	0	0
AC009570.2	0	0	0	0	0	0
JCHAIN	1	0	1	0	0	1
UTP3	462	540	573	534	471	549
RNU6-520P	0	0	0	0	0	0
RNU6-784P	0	0	0	0	0	0
AC009570.1	0	0	1	0	2	5
RUFY3	463	451	341	332	329	368
GRSF1	2285	2362	2184	2141	2318	2716
AC021989.1	0	0	0	0	0	0
RNU6-891P	0	0	0	0	0	0
MOB1B	1022	931	1073	1003	898	1260
DCK	294	240	764	726	703	929
SLC4A4	23	14	2	3	8	9
AC096713.1	0	0	0	0	0	0
LDHAL6EP	0	0	0	0	0	0
GC	0	0	0	0	0	0
RNA5SP163	0	0	0	0	0	0
AC068721.1	0	0	0	0	0	0
NPFFR2	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0
AC095056.1	0	0	0	0	0	0
HNRNPA1P67	0	0	0	1	0	0
RNU4ATAC9P	0	0	0	0	0	0
RNU6ATAC5P	0	0	0	0	0	0
COX18	184	171	209	206	204	254
ANKRD17	2253	2275	2022	2064	2323	2566
HMGA1P2	2	0	13	11	11	10
AC053527.2	7	6	4	3	0	1
AC053527.1	0	0	0	0	2	0
AC108157.1	0	0	0	0	0	0
ALB	4	2	1	1	4	2
AFP	0	1	0	0	0	0
AFM	0	0	0	0	0	0
LINC02499	0	0	0	0	0	0
AC074250.1	0	0	0	0	0	0
RASSF6	37	69	68	47	56	55
UMLILO	0	0	0	0	0	0
CXCL8	2	3	1040	1200	36	35
AC112518.1	0	0	0	0	0	0
CXCL6	0	0	0	0	0	0
PPBPP1	0	0	0	0	0	0
PF4V1	0	0	0	0	0	0
CXCL1	6	11	113	128	11	12
HNRNPA1P55	0	0	0	0	0	0
CXCL1P1	0	0	0	0	0	0
PF4	0	0	0	0	0	0
PPBP	0	0	0	0	0	0
CXCL5	0	0	0	0	0	1
