cancer_type	repeat_family	repeat_family_size	overlaps	odds_ratio	giggle_score
PRAD	MER41B	2934	8	0.92847077939592282	-0.013595347668474887
LGG	SVA_A	1618	1	0.93286717241490758	-0.013681068461035741
KIRC	MER11B	1010	1	0.92503347713048467	-0.015326116696238072
CESC	MER11B	1010	0	0.9077125890419756	-0.027689600587623095
PCPG	LTR10C	516	0	0.81276884985392128	-0.058011790817616164
LGG	MER39B	1284	0	0.78817048585693694	-0.065893413890850454
KIRP	MER11D	266	0	0.77397710839526102	-0.070755475925021717
LGG	Harlequin-int	617	0	0.75406557252829842	-0.076968512680506955
SKCM	LTR10A	334	0	0.73482478199810575	-0.083265557505546246
PRAD	PABL_A	676	1	0.80196321496574552	-0.088102619312216813
LUSC	MER41B	2934	9	0.82591844593402608	-0.090553120039190016
KIRP	MER11A	555	1	0.74187294326972741	-0.11773228661247614
PRAD	MER44B	2660	5	0.77250652092907723	-0.12299119286602585
PCPG	Harlequin-int	617	1	0.70147962359263205	-0.13675294120331835
GBM	MER39B	1284	0	0.70359917449952614	-0.19493222672221754
SKCM	LTR2B	355	0	0.69629811750629	-0.20105893631865776
PRAD	LTR7Y	467	0	0.67358688988944559	-0.21896567749048138
GBM	Harlequin-int	617	0	0.67306010103632241	-0.21929017464961638
ACC	Harlequin-int	617	1	0.68134969271287105	-0.23154263945034848
SKCM	LTR7Y	467	0	0.59571355988204999	-0.2797764668267159
PCPG	SVA_A	1618	2	0.6507271226862702	-0.28745011197139595
PCPG	MER11A	555	0	0.57881782269027005	-0.29200970555433351
ACC	MER11A	555	0	0.56223490984388413	-0.30364930781235685
PCPG	MER11B	1010	1	0.56268744745196952	-0.46049468284024861
BRCA	LTR7Y	467	1	0.53446913887843539	-0.49273572623763571
MESO	Harlequin-int	617	0	0.52456694121075476	-0.52336538030668553
SKCM	LTR10C	516	0	0.46698057440177648	-0.59911513930025244
THCA	MER11A	555	0	0.45677854673522716	-0.61006442909469412
COAD	SVA_A	1618	2	0.54769879382542552	-0.62187102064984771
THCA	MER11B	1010	1	0.44398854299844398	-0.97813056880699386
PCPG	MER41B	2934	2	0.47512941345173831	-1.0481430305155413
KIRP	MER11B	1010	1	0.35982163101806364	-1.9020479015675723
ACC	MER11B	1010	0	0.27297499267262382	-2.3111727303117976
BRCA	PABL_A	676	1	0.31720986696529635	-2.6447290123991853
THCA	MER44B	2660	1	0.31222463064568329	-2.6531175935933574
